StockCode,Source,Model,MAE,RMSE,WAPE,Bias
10002,Statistical,Naive,0.0,0.0,,
10002,Statistical,MA4,0.0,0.0,,
10002,Statistical,MA8,0.0,0.0,,
10002,Statistical,SES,0.0009642840562632777,0.0009642840562632776,,
10002,Statistical,SeasonalNaive52,37.083333333333336,91.42346525919919,,
10002,Statistical,Croston,14.45859154243683,14.458591542436826,,
10002,Statistical,CrostonSBA,13.735661965314987,13.735661965314986,,
10002,Statistical,TSB,1.3805582678966957,1.380558267896696,,
10120,Statistical,Naive,3.5,7.702813338860896,1.0,-1.0
10120,Statistical,MA4,6.916666666666667,7.94250170496257,1.9761904761904763,1.1428571428571428
10120,Statistical,MA8,4.583333333333333,6.8662823517048395,1.3095238095238095,0.07142857142857142
10120,Statistical,SES,4.362869868463323,6.8740508719466655,1.246534248132378,-0.11754011274572244
10120,Statistical,SeasonalNaive52,8.333333333333334,14.159802258506296,2.380952380952381,1.0476190476190477
10120,Statistical,Croston,4.399727020587764,6.868320418190693,1.2570648630250754,-0.08594826806763127
10120,Statistical,CrostonSBA,4.346407336225042,6.877183267197606,1.241830667492869,-0.13165085466424992
10120,Statistical,TSB,3.9475597708915657,7.0590399626273355,1.1278742202547332,-0.47352019637865794
10123C,Statistical,Naive,0.0,0.0,,
10123C,Statistical,MA4,0.0,0.0,,
10123C,Statistical,MA8,0.0,0.0,,
10123C,Statistical,SES,5.829233637819683e-05,5.829233637819683e-05,,
10123C,Statistical,SeasonalNaive52,1.5833333333333333,4.368447474027052,,
10123C,Statistical,Croston,3.121902951030107,3.121902951030107,,
10123C,Statistical,CrostonSBA,2.965807803478602,2.9658078034786017,,
10123C,Statistical,TSB,0.17143746810264496,0.17143746810264496,,
10125,Statistical,Naive,2.4166666666666665,6.144102863722254,1.0,-1.0
10125,Statistical,MA4,5.416666666666667,6.211548384528075,2.2413793103448274,1.0689655172413792
10125,Statistical,MA8,7.166666666666667,7.599342076785332,2.9655172413793105,2.103448275862069
10125,Statistical,SES,6.396549560322485,6.952539777019931,2.6468480939265455,1.677168692613956
10125,Statistical,SeasonalNaive52,6.0,10.246950765959598,2.4827586206896552,1.9310344827586208
10125,Statistical,Croston,5.549269237034366,6.296869539496294,2.2962493394624963,1.1512705609178822
10125,Statistical,CrostonSBA,5.3759724418493136,6.186410844411256,2.2245403207652332,1.0437070328719877
10125,Statistical,TSB,5.263871516855844,6.119779426365162,2.1781537311127632,0.974127148393283
